Description	
Number of Runs	0
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	8272	30	04/09/24 11:49:45 AM	
2	900	4874	30	04/09/24 11:50:22 AM	
3	900	2979	30	04/09/24 11:51:00 AM	
4	900	2104	30	04/09/24 11:51:40 AM	
5	900	1553	30	04/09/24 11:52:19 AM	
6	900	1142	30	04/09/24 11:53:00 AM	
7	900	907	30	04/09/24 11:53:41 AM	
8	900	765	30	04/09/24 11:54:21 AM	
9	900	692	30	04/09/24 11:55:01 AM	
10	900	561	30	04/09/24 11:55:39 AM	
