Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	21	5	04/04/24 02:00:10 PM	
2	900	22	5	04/04/24 02:00:15 PM	
3	900	19	5	04/04/24 02:00:20 PM	
4	900	17	5	04/04/24 02:00:25 PM	
5	900	12	5	04/04/24 02:00:30 PM	
6	900	15	5	04/04/24 02:00:36 PM	
7	900	21	5	04/04/24 02:00:41 PM	
8	900	18	5	04/04/24 02:00:46 PM	
9	900	18	5	04/04/24 02:00:51 PM	
10	900	17	5	04/04/24 02:00:56 PM	
11	900	13	5	04/04/24 02:01:02 PM	
12	900	24	5	04/04/24 02:01:07 PM	
13	900	17	5	04/04/24 02:01:12 PM	
14	900	21	5	04/04/24 02:01:17 PM	
15	900	16	5	04/04/24 02:01:22 PM	
16	900	25	5	04/04/24 02:01:27 PM	
17	900	30	5	04/04/24 02:01:33 PM	
18	900	26	5	04/04/24 02:01:38 PM	
19	900	27	5	04/04/24 02:01:43 PM	
20	900	22	5	04/04/24 02:01:48 PM	
21	900	24	5	04/04/24 02:01:53 PM	
22	900	22	5	04/04/24 02:01:59 PM	
23	900	22	5	04/04/24 02:02:04 PM	
24	900	25	5	04/04/24 02:02:09 PM	
25	900	21	5	04/04/24 02:02:14 PM	
26	900	25	5	04/04/24 02:02:19 PM	
27	900	19	5	04/04/24 02:02:24 PM	
28	900	22	5	04/04/24 02:02:30 PM	
29	900	20	5	04/04/24 02:02:35 PM	
30	900	21	5	04/04/24 02:02:40 PM	
31	900	21	5	04/04/24 02:02:45 PM	
32	900	24	5	04/04/24 02:02:50 PM	
33	900	21	5	04/04/24 02:02:55 PM	
34	900	19	5	04/04/24 02:03:01 PM	
35	900	23	5	04/04/24 02:03:06 PM	
36	900	23	5	04/04/24 02:03:11 PM	
37	900	22	5	04/04/24 02:03:16 PM	
38	900	22	5	04/04/24 02:03:21 PM	
39	900	19	5	04/04/24 02:03:27 PM	
40	900	18	5	04/04/24 02:03:32 PM	
41	900	20	5	04/04/24 02:03:37 PM	
42	900	12	5	04/04/24 02:03:42 PM	
43	900	22	5	04/04/24 02:03:47 PM	
44	900	16	5	04/04/24 02:03:52 PM	
45	900	13	5	04/04/24 02:03:58 PM	
46	900	26	5	04/04/24 02:04:03 PM	
47	900	25	5	04/04/24 02:04:08 PM	
48	900	24	5	04/04/24 02:04:13 PM	
49	900	17	5	04/04/24 02:04:18 PM	
50	900	20	5	04/04/24 02:04:24 PM	
51	900	22	5	04/04/24 02:04:29 PM	
52	900	13	5	04/04/24 02:04:34 PM	
53	900	24	5	04/04/24 02:04:39 PM	
54	900	11	5	04/04/24 02:04:44 PM	
55	900	22	5	04/04/24 02:04:49 PM	
56	900	14	5	04/04/24 02:04:55 PM	
57	900	21	5	04/04/24 02:05:00 PM	
58	900	22	5	04/04/24 02:05:05 PM	
59	900	22	5	04/04/24 02:05:10 PM	
60	900	20	5	04/04/24 02:05:15 PM	
61	900	19	5	04/04/24 02:05:21 PM	
62	900	24	5	04/04/24 02:05:26 PM	
63	900	19	5	04/04/24 02:05:31 PM	
64	900	18	5	04/04/24 02:05:36 PM	
65	900	21	5	04/04/24 02:05:41 PM	
66	900	25	5	04/04/24 02:05:46 PM	
67	900	26	5	04/04/24 02:05:52 PM	
68	900	19	5	04/04/24 02:05:57 PM	
69	900	16	5	04/04/24 02:06:02 PM	
70	900	19	5	04/04/24 02:06:07 PM	
71	900	23	5	04/04/24 02:06:12 PM	
72	900	15	5	04/04/24 02:06:17 PM	
73	900	22	5	04/04/24 02:06:23 PM	
74	900	16	5	04/04/24 02:06:28 PM	
75	900	19	5	04/04/24 02:06:33 PM	
76	900	28	5	04/04/24 02:06:38 PM	
77	900	23	5	04/04/24 02:06:43 PM	
78	900	16	5	04/04/24 02:06:48 PM	
79	900	29	5	04/04/24 02:06:54 PM	
80	900	24	5	04/04/24 02:06:59 PM	
81	900	14	5	04/04/24 02:07:04 PM	
82	900	22	5	04/04/24 02:07:09 PM	
83	900	16	5	04/04/24 02:07:14 PM	
84	900	20	5	04/04/24 02:07:20 PM	
85	900	27	5	04/04/24 02:07:25 PM	
86	900	19	5	04/04/24 02:07:30 PM	
87	900	15	5	04/04/24 02:07:35 PM	
88	900	13	5	04/04/24 02:07:40 PM	
89	900	23	5	04/04/24 02:07:45 PM	
90	900	20	5	04/04/24 02:07:51 PM	
91	900	24	5	04/04/24 02:07:56 PM	
92	900	20	5	04/04/24 02:08:01 PM	
93	900	20	5	04/04/24 02:08:06 PM	
94	900	18	5	04/04/24 02:08:11 PM	
95	900	22	5	04/04/24 02:08:16 PM	
96	900	21	5	04/04/24 02:08:22 PM	
97	900	21	5	04/04/24 02:08:27 PM	
98	900	21	5	04/04/24 02:08:32 PM	
99	900	22	5	04/04/24 02:08:37 PM	
100	900	18	5	04/04/24 02:08:42 PM	
101	900	24	5	04/04/24 02:08:47 PM	
102	900	11	5	04/04/24 02:08:53 PM	
103	900	17	5	04/04/24 02:08:58 PM	
104	900	19	5	04/04/24 02:09:03 PM	
105	900	15	5	04/04/24 02:09:08 PM	
106	900	24	5	04/04/24 02:09:13 PM	
107	900	16	5	04/04/24 02:09:18 PM	
108	900	28	5	04/04/24 02:09:24 PM	
109	900	17	5	04/04/24 02:09:29 PM	
110	900	28	5	04/04/24 02:09:34 PM	
111	900	22	5	04/04/24 02:09:39 PM	
112	900	24	5	04/04/24 02:09:44 PM	
113	900	22	5	04/04/24 02:09:49 PM	
114	900	22	5	04/04/24 02:09:55 PM	
115	900	25	5	04/04/24 02:10:00 PM	
116	900	18	5	04/04/24 02:10:05 PM	
117	900	19	5	04/04/24 02:10:10 PM	
118	900	24	5	04/04/24 02:10:15 PM	
119	900	20	5	04/04/24 02:10:20 PM	
120	900	19	5	04/04/24 02:10:26 PM	
121	900	26	5	04/04/24 02:10:31 PM	
122	900	14	5	04/04/24 02:10:36 PM	
123	900	21	5	04/04/24 02:10:41 PM	
124	900	22	5	04/04/24 02:10:46 PM	
125	900	6	5	04/04/24 02:10:51 PM	
126	900	19	5	04/04/24 02:10:57 PM	
127	900	17	5	04/04/24 02:11:02 PM	
128	900	15	5	04/04/24 02:11:07 PM	
129	900	21	5	04/04/24 02:11:12 PM	
130	900	17	5	04/04/24 02:11:17 PM	
131	900	24	5	04/04/24 02:11:23 PM	
132	900	17	5	04/04/24 02:11:28 PM	
133	900	19	5	04/04/24 02:11:33 PM	
134	900	26	5	04/04/24 02:11:38 PM	
135	900	20	5	04/04/24 02:11:43 PM	
